Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
13,3,1981,16.86,10.14,70.54,1.70,16.34,0.00,3.25,0.46548783107635416
14,3,1981,16.26,7.64,73.90,1.33,14.57,0.00,4.31,0.3778564583059554
15,3,1981,17.03,5.79,67.64,1.55,18.87,0.00,2.86,0.4632361945330242
16,3,1981,18.59,6.36,63.56,1.53,17.78,0.00,2.64,0.5649083999322217
17,3,1981,20.08,6.51,66.38,1.57,21.19,0.00,2.95,0.5578450281572076
18,3,1981,16.44,5.85,73.36,1.24,20.02,0.09,1.93,0.37235591864882234
19,3,1981,15.48,8.87,78.95,0.57,6.08,0.59,3.30,0.30488635062737246
20,3,1981,16.30,10.23,82.52,0.89,11.46,0.41,2.73,0.2709784414434886
21,3,1981,16.85,11.54,76.48,0.91,9.45,1.34,6.02,0.38572443783799537
22,3,1981,16.84,13.95,90.25,0.82,8.18,0.64,5.77,0.1711902062295707
23,3,1981,17.22,14.07,91.12,0.78,8.73,0.67,4.27,0.15854314389948265
24,3,1981,17.57,10.21,89.18,1.13,15.53,0.17,2.10,0.17605175117034477
25,3,1981,16.37,10.03,90.22,0.71,6.86,4.13,3.93,0.1512056224815237
26,3,1981,16.00,8.95,79.46,1.65,15.99,0.03,1.93,0.3042461846464295
27,3,1981,15.08,8.83,94.39,0.68,2.35,20.11,6.14,0.07991701528892348
28,3,1981,16.06,11.17,93.28,1.55,6.43,11.17,6.88,0.10593706080896048
29,3,1981,14.44,8.68,79.21,2.68,16.74,5.94,7.85,0.287765094438422
30,3,1981,14.68,8.66,75.47,1.88,12.77,0.11,8.46,0.3424982152742393
31,3,1981,16.31,6.87,77.30,2.31,21.80,0.00,4.00,0.32319741637885113
1,4,1981,15.24,11.12,91.46,1.52,5.29,16.61,7.69,0.13045265300430642
2,4,1981,16.15,9.55,82.23,1.76,12.55,1.73,4.76,0.26896690335499374
3,4,1981,15.66,8.39,83.09,1.82,16.63,0.02,2.37,0.24356925658098283
4,4,1981,16.40,10.09,78.94,2.41,21.53,0.06,1.45,0.32649888263113214
5,4,1981,16.41,9.79,82.86,1.50,13.85,0.00,1.76,0.2637197380531586
6,4,1981,16.93,9.55,87.92,1.46,13.94,0.31,2.25,0.1884825035155855
7,4,1981,18.02,10.67,88.20,1.73,16.65,0.10,1.88,0.19769608448481768
8,4,1981,21.99,10.97,79.09,2.10,16.11,0.20,2.72,0.4132253840210218
9,4,1981,25.25,14.42,88.86,1.62,9.98,16.31,4.58,0.2705882431773641
10,4,1981,17.94,13.90,90.78,1.60,9.50,2.97,6.19,0.16801033468038873
11,4,1981,17.14,10.65,86.29,1.91,15.83,0.37,2.57,0.2219287138791075
12,4,1981,16.45,10.86,84.94,1.85,15.19,1.47,2.70,0.23883356454986782
13,4,1981,16.73,10.55,79.45,1.80,13.68,1.51,4.52,0.3266198014273496
14,4,1981,17.26,9.13,78.89,2.66,22.97,0.00,2.57,0.3301678035509157
15,4,1981,16.97,9.47,76.04,2.50,20.78,0.13,5.46,0.3736651109690774
16,4,1981,15.12,10.90,80.51,1.58,11.22,0.38,7.28,0.2945503878044933
17,4,1981,17.23,11.92,79.87,2.47,22.34,0.00,7.52,0.33831847069912335
18,4,1981,18.11,10.19,78.17,2.65,25.04,0.03,4.04,0.36259550257533735
19,4,1981,15.95,9.83,79.17,2.07,20.85,0.02,2.87,0.3152132688127096
20,4,1981,17.38,9.88,84.74,1.59,16.09,0.13,3.52,0.24438971579404511
21,4,1981,18.59,8.31,57.71,2.89,27.00,0.00,6.34,0.6845571528242881
22,4,1981,16.70,6.95,63.46,2.36,27.20,0.00,4.53,0.5297604350712535
23,4,1981,19.17,7.52,66.45,2.27,27.31,0.00,4.27,0.546698183644672
24,4,1981,18.50,8.65,75.35,1.74,26.07,0.00,4.24,0.40068244626523297
25,4,1981,16.13,8.98,67.00,1.26,13.91,0.42,6.67,0.4916917795311564
26,4,1981,14.73,7.74,58.81,1.68,25.35,0.02,6.35,0.5622120322151473
27,4,1981,14.92,6.03,63.94,1.40,24.03,0.02,5.03,0.47484458782891326
28,4,1981,18.46,6.43,55.57,1.72,27.34,0.00,5.03,0.685946501649618
29,4,1981,18.73,6.64,63.59,1.41,26.96,0.00,4.42,0.5712750230238327
30,4,1981,19.40,9.72,75.12,1.15,26.27,0.00,4.00,0.4301680669169423
1,5,1981,20.50,9.00,75.79,1.14,27.63,0.00,3.44,0.43090189785901667
2,5,1981,19.75,10.75,70.44,0.92,27.34,0.02,6.77,0.5311040503741282
3,5,1981,22.65,10.56,57.02,1.21,28.51,0.00,5.06,0.8650413464229418
4,5,1981,20.61,9.74,67.41,0.83,28.28,0.00,6.64,0.5922872731113169
5,5,1981,28.45,10.15,61.52,1.10,28.39,0.00,5.06,0.9851779743796207
6,5,1981,26.98,12.53,67.81,0.84,22.12,0.44,4.56,0.8069225689361743
7,5,1981,17.31,12.92,79.69,1.52,11.83,5.05,6.63,0.3519800873439689
8,5,1981,15.49,10.02,81.53,2.73,13.13,16.28,5.59,0.27608062519310494
9,5,1981,14.52,10.00,71.95,3.04,18.78,3.80,7.02,0.40410478917622283
10,5,1981,15.95,9.75,78.21,2.42,14.65,3.86,6.40,0.3290322414351692
11,5,1981,16.55,9.03,75.34,2.97,25.75,1.58,3.24,0.37403608985964
12,5,1981,17.19,9.89,72.75,2.58,22.53,0.00,2.63,0.43329199645081995
13,5,1981,18.84,8.48,75.01,2.79,27.49,0.00,3.19,0.41032366397673137
14,5,1981,18.53,11.58,76.21,2.01,19.10,0.02,2.96,0.41608376152526527
15,5,1981,17.95,11.70,80.23,1.68,19.17,0.72,4.78,0.3393093200022561
16,5,1981,16.62,11.74,81.40,1.18,10.70,0.68,2.90,0.30413358703615745
17,5,1981,16.41,10.10,88.54,0.83,11.74,0.29,3.82,0.17778296925537806
18,5,1981,17.90,12.72,84.72,1.73,20.80,0.10,4.06,0.2690506031821478
19,5,1981,17.93,10.16,88.82,1.05,14.20,0.80,4.84,0.18425271516070252
20,5,1981,18.57,12.85,75.95,2.09,24.97,0.57,4.60,0.43557801270560303
21,5,1981,17.76,11.70,74.52,1.79,21.76,0.45,4.03,0.43419273518078394
22,5,1981,22.01,9.65,67.11,2.05,29.77,0.01,5.12,0.6323103861063042
23,5,1981,24.82,10.68,70.15,1.69,29.76,0.00,4.96,0.6595391839542668
24,5,1981,21.68,12.18,69.08,1.20,28.76,0.02,5.39,0.6202703300069694
25,5,1981,18.63,11.54,76.55,0.65,15.79,0.14,4.52,0.4112852618337921
26,5,1981,19.39,10.95,63.58,1.05,28.47,0.01,5.75,0.648237372980699
27,5,1981,22.23,10.16,64.52,1.06,30.24,0.00,5.47,0.695836325024497
28,5,1981,24.35,10.31,65.69,0.95,28.33,0.00,4.63,0.7378169598922653
29,5,1981,23.23,11.60,69.88,0.85,29.84,0.00,3.35,0.6347420567779349
30,5,1981,19.41,14.24,74.71,0.54,19.58,0.01,2.95,0.49036117601491935
31,5,1981,20.83,13.89,85.26,0.69,13.09,0.63,3.82,0.29836582878165485
1,6,1981,19.92,16.11,75.22,1.28,14.07,1.92,6.02,0.5151549019360302
2,6,1981,19.71,14.70,67.84,1.28,20.02,0.55,4.57,0.6382665406449968
3,6,1981,20.01,12.32,70.69,1.39,20.65,0.59,5.00,0.5528105874475608
4,6,1981,23.83,11.26,72.60,1.33,28.85,0.00,3.73,0.587617636729683
5,6,1981,24.98,14.06,74.12,0.93,29.32,0.00,4.76,0.6170886444789605
6,6,1981,25.49,14.72,75.00,0.71,29.21,0.00,5.28,0.6170334018971682
7,6,1981,23.27,13.20,77.20,0.62,29.06,0.02,3.83,0.49853623348964726
8,6,1981,23.33,18.17,82.78,0.61,16.25,0.39,3.70,0.4263808900164707
9,6,1981,23.38,14.71,67.92,0.76,26.71,0.04,6.27,0.7295677429680876
10,6,1981,27.79,13.61,62.82,0.74,30.61,0.00,6.66,0.9838849422872065
11,6,1981,33.18,14.80,56.59,0.77,30.21,0.00,6.14,1.4682714667035663
12,6,1981,35.83,17.44,53.29,0.79,30.04,0.00,2.61,1.8399610748614057
13,6,1981,36.28,20.51,44.67,0.78,29.48,0.00,3.29,2.33658765263909
14,6,1981,42.35,22.52,43.84,0.73,27.64,0.01,5.82,3.1112115275260512
15,6,1981,34.83,20.11,45.60,0.70,30.14,0.00,3.63,2.155413953850912
