Available from: "http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation"
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
28,1,1981,17.58,7.37,78.70,0.75,10.71,0.09,4.03
29,1,1981,15.80,8.84,87.52,0.42,5.57,0.38,3.67
30,1,1981,16.67,10.68,81.72,0.60,6.13,0.11,4.36
31,1,1981,18.07,9.73,82.70,0.60,7.24,0.30,3.64
1,2,1981,17.32,7.30,74.12,0.91,12.55,0.00,3.67
2,2,1981,17.30,4.64,70.42,0.83,13.40,0.00,3.23
3,2,1981,17.70,3.71,76.85,0.72,13.73,0.02,2.55
4,2,1981,14.07,7.87,89.63,0.36,3.82,0.59,3.79
5,2,1981,15.74,7.44,74.93,0.86,13.47,0.00,4.91
6,2,1981,18.44,4.34,79.82,0.74,13.85,0.00,3.02
7,2,1981,19.66,5.44,71.74,0.83,14.04,0.00,2.93
8,2,1981,17.84,4.80,78.19,0.72,14.01,0.00,2.15
9,2,1981,13.19,7.27,85.24,0.43,5.74,0.38,4.61
10,2,1981,12.79,6.54,71.94,0.66,10.19,0.19,5.94
11,2,1981,13.51,4.66,58.32,0.86,14.53,0.00,5.32
12,2,1981,11.22,0.70,60.20,0.76,15.45,0.00,2.51
13,2,1981,11.79,7.14,84.71,0.84,8.64,3.60,3.68
14,2,1981,12.33,6.30,86.99,0.59,5.43,0.95,6.37
15,2,1981,10.42,8.44,90.88,0.67,2.78,3.33,6.37
16,2,1981,16.68,6.63,82.05,1.31,14.84,0.05,3.52
17,2,1981,15.89,5.75,80.31,1.10,14.28,0.00,2.70
18,2,1981,11.94,7.80,77.17,0.70,5.42,0.09,2.68
19,2,1981,13.35,7.49,79.46,1.11,9.78,2.37,2.69
20,2,1981,14.08,5.52,70.36,1.71,16.42,1.34,4.50
21,2,1981,13.78,2.27,65.42,1.38,17.18,0.00,2.66
22,2,1981,14.86,2.36,76.54,1.09,15.97,0.00,2.74
23,2,1981,15.89,5.60,78.58,0.99,14.10,0.02,2.46
24,2,1981,17.02,3.98,75.65,1.08,17.10,0.00,1.60
25,2,1981,16.96,6.28,82.87,0.88,15.66,0.09,3.12
26,2,1981,14.95,10.96,88.83,0.26,1.48,2.80,5.11
27,2,1981,17.08,14.32,95.90,0.97,4.81,17.60,8.60
28,2,1981,14.72,7.93,82.25,1.22,6.93,0.22,3.50
1,3,1981,13.49,6.90,78.84,0.84,6.53,0.33,1.41
2,3,1981,13.84,6.09,83.88,0.80,8.33,0.05,1.58
3,3,1981,14.58,4.89,86.13,0.81,10.27,0.00,1.69
4,3,1981,15.54,6.99,92.73,0.76,9.22,0.91,2.64
5,3,1981,15.84,12.91,91.41,0.79,6.99,1.37,4.62
6,3,1981,17.24,12.33,92.96,1.03,9.09,1.49,2.74
7,3,1981,17.90,10.95,91.15,1.11,10.94,0.25,2.78
