Statistical table extracted on October 17, 2024 (23:02:41),,
http://www.ine.pt,,,
,,,
,,,
,,,
Geographic localization (NUTS - 2024);Rural fires (No.) by Geographic localization (NUTS - 2024) and Cause of fire -  Annual;;;;;;;,,,
;Data reference period;;;;;;;,,,
;2023;;;;;;;,,,
;Cause of fire;;;;;;;,,,
;Total;Negligence;Intentional;Naturais;Re-ignition;Undetermined;Not investigated;,,,
11C0106: Castelo de Paiva;33 &;9 &;0 &;0 &;0 &;24 &;0 &;,,,
11C0305: Celorico de Basto;40 &;22 &;16 &;0 &;2 &;0 &;0 &;,,,
11C1804: Cinf�es;66 &;45 &;18 &;0 &;3 &;0 &;0 &;,,,
11C1303: Felgueiras;74 &;15 &;0 &;0 &;5 &;54 &;0 &;,,,
11C1305: Lousada;129 &;18 &;1 &;0 &;3 &;107 &;0 &;,,,
11C1307: Marco de Canaveses;102 &;8 &;2 &;0 &;10 &;82 &;0 &;,,,
11C1309: Pa�os de Ferreira;69 &;5 &;0 &;0 &;0 &;64 &;0 &;,,,
11C1311: Penafiel;132 &;11 &;2 &;0 &;9 &;110 &;0 &;,,,
11C1813: Resende;21 &;13 &;7 &;0 &;1 &;0 &;0 &;,,,
11D: Douro;266 &;138 &;76 &;14 &;13 &;25 &;0 &;,,,
11D1701: Alij�;15 &;8 &;0 &;1 &;0 &;6 &;0 &;,,,
11D1801: Armamar;5 &;2 &;3 &;0 &;0 &;0 &;0 &;,,,
11D0403: Carrazeda de Ansi�es;8 &;3 &;3 &;1 &;0 &;1 &;0 &;,,,
11D0404: Freixo de Espada � Cinta;10 &;10 &;0 &;0 &;0 &;0 &;0 &;,,,
11D1805: Lamego;39 &;25 &;13 &;0 &;1 &;0 &;0 &;,,,
11D1704: Mes�o Frio;8 &;0 &;4 &;0 &;1 &;3 &;0 &;,,,
11D1807: Moimenta da Beira;18 &;13 &;3 &;0 &;2 &;0 &;0 &;,,,
11D1707: Mur�a;8 &;5 &;0 &;1 &;1 &;1 &;0 &;,,,
11D1812: Penedono;7 &;2 &;5 &;0 &;0 &;0 &;0 &;,,,
11D1708: Peso da R�gua;15 &;6 &;3 &;0 &;2 &;4 &;0 &;,,,
11D1710: Sabrosa;16 &;2 &;6 &;0 &;3 &;5 &;0 &;,,,
11D1711: Santa Marta de Penagui�o;11 &;3 &;4 &;0 &;0 &;4 &;0 &;,,,
11D1815: S�o Jo�o da Pesqueira;11 &;9 &;1 &;1 &;0 &;0 &;0 &;,,,
11D1818: Sernancelhe;14 &;5 &;5 &;4 &;0 &;0 &;0 &;,,,
11D1819: Tabua�o;10 &;8 &;1 &;1 &;0 &;0 &;0 &;,,,
11D1820: Tarouca;13 &;9 &;2 &;1 &;1 &;0 &;0 &;,,,
11D0409: Torre de Moncorvo;11 &;2 &;6 &;2 &;0 &;1 &;0 &;,,,
11D0914: Vila Nova de Foz C�a;5 &;5 &;0 &;0 &;0 &;0 &;0 &;,,,
11D1714: Vila Real;42 &;21 &;17 &;2 &;2 &;0 &;0 &;,,,
11E: Terras de Tr�s-os-Montes;104 &;79 &;6 &;3 &;3 &;13 &;0 &;,,,
11E0401: Alf�ndega da F�;1 &;0 &;0 &;0 &;0 &;1 &;0 &;,,,
11E0402: Bragan�a;22 &;18 &;1 &;0 &;0 &;3 &;0 &;,,,
11E0405: Macedo de Cavaleiros;14 &;10 &;1 &;1 &;0 &;2 &;0 &;,,,
11E0406: Miranda do Douro;5 &;4 &;0 &;0 &;0 &;1 &;0 &;,,,
11E0407: Mirandela;4 &;4 &;0 &;0 &;0 &;0 &;0 &;,,,
11E0408: Mogadouro;12 &;8 &;0 &;2 &;1 &;1 &;0 &;,,,
11E0410: Vila Flor;1 &;1 &;0 &;0 &;0 &;0 &;0 &;,,,
11E0411: Vimioso;6 &;6 &;0 &;0 &;0 &;0 &;0 &;,,,
11E0412: Vinhais;39 &;28 &;4 &;0 &;2 &;5 &;0 &;,,,
19: Centro;1460 &;672 &;479 &;47 &;31 &;231 &;0 &;,,,
191: Regi�o de Aveiro;290 &;97 &;73 &;2 &;13 &;105 &;0 &;,,,
1910101: �gueda;32 &;16 &;11 &;0 &;3 &;2 &;0 &;,,,
1910102: Albergaria-a-Velha;38 &;11 &;21 &;0 &;4 &;2 &;0 &;,,,
1910103: Anadia;19 &;5 &;1 &;1 &;1 &;11 &;0 &;,,,
1910105: Aveiro;44 &;18 &;0 &;0 &;0 &;26 &;0 &;,,,
1910108: Estarreja;43 &;10 &;18 &;0 &;3 &;12 &;0 &;,,,
1910110: �lhavo;23 &;5 &;0 &;0 &;0 &;18 &;0 &;,,,
1910112: Murtosa;4 &;3 &;0 &;0 &;0 &;1 &;0 &;,,,
1910114: Oliveira do Bairro;20 &;8 &;7 &;0 &;0 &;5 &;0 &;,,,
1910115: Ovar;23 &;5 &;9 &;0 &;0 &;9 &;0 &;,,,
1910117: Sever do Vouga;15 &;7 &;6 &;1 &;1 &;0 &;0 &;,,,
1910118: Vagos;29 &;9 &;0 &;0 &;1 &;19 &;0 &;,,,
192: Regi�o de Coimbra;277 &;94 &;151 &;5 &;3 &;24 &;0 &;,,,
1920601: Arganil;2 &;1 &;1 &;0 &;0 &;0 &;0 &;,,,
1920602: Cantanhede;64 &;10 &;49 &;0 &;0 &;5 &;0 &;,,,
1920603: Coimbra;33 &;20 &;12 &;0 &;0 &;1 &;0 &;,,,
1920604: Condeixa-a-Nova;6 &;5 &;1 &;0 &;0 &;0 &;0 &;,,,
1920605: Figueira da Foz;32 &;14 &;18 &;0 &;0 &;0 &;0 &;,,,
1920606: G�is;6 &;2 &;3 &;0 &;0 &;1 &;0 &;,,,
1920607: Lous�;21 &;3 &;16 &;0 &;0 &;2 &;0 &;,,,
1920111: Mealhada;18 &;1 &;12 &;0 &;0 &;5 &;0 &;,,,
